sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PDHN,24.83478261,2.986666667,0.8,12.13333333,17.79166667,110407.0,0.00012853,0.68673325,-5.765384,278.44073,8.07766,101993.555,1.0000076,645.1592,353.2073213,5.806139442,27.82144928,-2.10131,-0.18876
PDHN,22.4,1.493333333,0.8,16.8,16.50833333,36802.0,0.00010442,1.1963826,-5.8459415,278.29025,7.80285,102048.164,1.0000076,677.5813,348.4340195,5.967106782,23.89333333,-1.85981,-0.29157
PDHN,18.0173913,8.96,1.44,23.33333333,18.9,1348881.0,0.0,4.1797056,-4.889507,271.57715,4.87438,102584.836,0.005096704,638.1218,319.4751284,6.432512542,26.9773913,-1.93569,-0.4064
PDHN,19.47826087,8.213333333,1.52,26.13333333,18.725,1781707.0,0.0,3.8941522,-5.3860326,271.24332,5.85183,102550.1,0.007248312,777.36096,324.1327171,6.646334969,27.6915942,-1.87678,-0.37354
PDHN,22.4,6.72,1.44,26.6,18.95833333,2012120.0,0.0,3.3642664,-5.600852,271.4442,6.55258,102434.93,0.13872507,959.12585,329.0080054,6.533592544,29.12,-1.90617,-0.25873
PDHN,23.37391304,5.973333333,1.44,26.13333333,19.65833333,1948117.0,0.0,2.6443865,-5.3923798,271.6115,7.0485,102340.445,0.1677641,1031.862,333.876981,6.005875446,29.34724638,-1.91898,-0.06047
PDHN,27.75652174,5.973333333,1.44,23.33333333,20.88333333,1760105.0,0.0,2.044799,-4.977388,271.83533,7.3416,102288.92,0.5061611,1093.5393,337.6662747,5.381040258,33.72985507,-2.14981,0.2363
PDHN,26.7826087,2.986666667,1.44,28.93333333,23.33333333,1150469.0,0.0,2.3831913,-4.7235103,272.34332,7.42666,102281.18,0.7556556,1130.2844,333.2273117,5.290666341,29.76927536,-1.87789,0.24163
PDHN,27.75652174,1.493333333,1.44,29.86666667,25.25833333,602436.0,0.0,2.1471038,-4.821644,272.37234,7.12832,102321.875,0.9622096,1134.4565,335.9963349,5.278096777,29.24985507,-1.86144,0.2451
PDHN,28.24347826,1.493333333,1.44,26.6,26.36666667,150009.0,0.0,1.8473098,-4.644418,272.48923,6.69586,102370.59,0.9353374,1095.8014,338.3098902,4.998316922,29.73681159,-1.96856,0.29088
PDHN,11.68695652,2.986666667,1.12,41.06666667,18.31666667,960458.0,0.0,-0.64622486,-0.59458435,272.10574,6.1469,102640.195,0.90431464,880.3075,47.38318408,0.878144133,14.67362319,-0.50601,0.76921
PDHN,11.68695652,2.24,1.12,42.46666667,20.70833333,1169670.0,0.0,-0.6578419,0.22172928,272.2715,6.5022,102593.74,1.0000076,912.0258,108.6266759,0.694204465,13.92695652,-0.58095,0.98829
PDHN,11.2,1.493333333,1.12,44.8,23.625,1565294.0,0.0,-0.3048347,0.41164914,272.57632,6.87707,102503.375,0.9910197,924.1904,143.479287,0.512229645,12.69333333,-0.55676,1.14638
PDHN,9.739130435,1.493333333,1.04,49.0,27.35833333,1352080.5,0.0,-0.004666179,0.47072443,272.6802,7.00857,102447.19,1.0000076,951.6864,179.4320592,0.470747557,11.23246377,-0.50285,1.2781
PDHN,9.739130435,1.493333333,1.04,49.93333333,32.84166667,1022461.5,0.0,0.034681767,0.29691604,272.70618,7.04916,102405.875,0.97926986,957.91943,186.6623375,0.298934708,11.23246377,-0.50407,1.36835
PDHN,12.66086957,1.493333333,1.04,48.06666667,38.26666667,752845.0,0.0,0.29587713,-0.13125801,273.34402,7.53002,102322.63,0.96521574,911.67395,293.9231928,0.323684941,14.1542029,-0.88424,1.67802
PDHN,18.0173913,1.493333333,1.12,40.6,42.7,450027.0,2.01e-06,-0.79162484,-0.47741014,273.3234,7.51693,102314.62,0.948125,687.132,58.90681923,0.924440549,19.51072464,-0.67138,0.9434
PDHN,19.96521739,1.493333333,1.12,36.4,44.04166667,128807.5,0.0,-1.0543191,-0.76741624,273.39902,7.3534,102365.45,0.93532217,756.95264,53.94993086,1.304038516,21.45855072,-0.81457,0.78622
PDHN,16.55652174,3.733333333,1.6,42.0,14.58333333,1139269.0,0.0,3.869794,-3.963831,274.67245,6.37527,102781.41,0.9999924,593.93726,315.6877613,5.539608452,20.28985507,-1.26993,0.04369
PDHN,13.63478261,2.24,1.36,43.4,18.55,1319679.0,0.0,4.171836,-4.380776,274.72668,7.1028,102764.27,1.0000076,662.3002,316.3994554,6.04941435,15.87478261,-1.02577,-0.19942
PDHN,10.22608696,1.866666667,1.28,43.63333333,23.30416667,1314478.0,0.0,4.1392336,-4.88316,274.758,7.3573,102706.586,0.9999924,854.0179,319.7135653,6.401445648,12.09275362,-0.85874,-0.39933
PDHN,9.982608696,1.493333333,1.44,30.33333333,26.1625,1205672.5,0.0,3.9308767,-5.805907,274.22937,7.3789,102657.26,1.0000076,1055.3367,325.9001208,7.011444054,11.47594203,-1.07117,-0.8184
PDHN,9.982608696,1.866666667,1.2,31.26666667,29.42916667,1022861.5,0.0,3.4167304,-6.528481,273.6091,7.12438,102627.31,0.8742075,1130.938,332.3743451,7.368521615,11.84927536,-1.09218,-0.90267
PDHN,22.88695652,3.733333333,1.2,31.26666667,32.6375,762845.5,0.0,1.5819924,-6.355649,274.06516,7.49273,102606.15,0.57164,1122.2417,346.022484,6.549578167,26.62028986,-1.71791,-0.18897
PDHN,25.32173913,2.986666667,1.04,29.86666667,35.20416667,592035.5,0.0,0.9614192,-6.590486,273.75043,7.09887,102635.54,0.355152,1092.1318,351.7002446,6.660242683,28.3084058,-1.84148,-0.20002
PDHN,28.73043478,2.24,0.96,26.6,34.79583333,210812.5,0.0,0.59754455,-6.3410025,273.33182,6.4963,102725.77,0.38342807,1044.7805,354.6166282,6.369095084,30.97043478,-2.04657,-0.09484
PDHN,9.739130435,2.24,0.56,40.13333333,29.63333333,567634.0,0.0,-3.745718,-2.5631108,273.59995,7.53723,102914.664,0.9948652,938.0641,55.61703903,4.538715711,11.97913043,-0.3127,-0.46856
