sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,37.9826087,12.69333333,0.96,7.0,15.98333333,489629.0,0.000809304,0.10888073,-2.798924,276.7403,6.7796,102712.14,0.9996109,374.8744,357.7722645,2.80104098,50.67594203,-2.44296,0.70573
PT,38.95652174,18.66666667,0.96,5.133333333,13.3,396824.0,0.000385575,-0.40676457,-3.071354,276.44925,6.99157,102614.23,1.0000076,434.3401,7.544245494,3.098172495,57.62318841,-2.31329,-0.10667
PT,37.00869565,14.93333333,0.96,5.6,11.14166667,381223.0,0.000391603,-0.68107593,-3.333043,276.91293,7.04586,102546.61,1.0000076,508.78528,11.54886313,3.401917116,51.94202899,-2.10594,-0.36575
PT,32.62608696,9.706666667,0.88,10.26666667,10.38333333,161209.0,0.000532173,-0.79424804,-3.2065926,277.22232,6.8097,102507.555,0.9996109,529.04285,13.911728,3.303493008,42.33275362,-1.73994,-0.49904
PT,30.67826087,3.733333333,0.64,11.2,9.8,195212.0,0.000730988,-1.1697397,-2.9756618,277.71198,6.5781,102408.89,1.0000076,545.8319,21.45990712,3.197319833,34.4115942,-1.49517,-0.62062
PT,28.24347826,2.986666667,0.64,13.06666667,9.566666667,109606.0,0.001339469,-1.7056212,-2.8023417,277.6952,6.45965,102388.41,1.0000076,555.53345,31.3264251,3.280588771,31.23014493,-1.37272,-0.69332
PT,27.75652174,2.986666667,0.64,14.46666667,9.45,35603.0,0.000540204,-1.7659547,-2.5645757,277.809,6.40142,102404.02,0.9937054,555.7848,34.55111429,3.113782992,30.74318841,-1.35027,-0.60644
PT,37.9826087,10.45333333,1.2,21.0,5.483333333,1012861.0,0.0,-0.7811321,0.2583462,271.87354,6.17047,102594.16,0.9019189,1022.16046,108.3007575,0.822745475,48.43594203,-2.03736,1.11137
PT,31.65217391,5.973333333,1.12,29.4,8.925,1082865.0,0.0,-0.6267383,0.70409644,272.15234,6.63107,102549.76,1.0000076,1084.1394,138.3267189,0.94263073,37.62550725,-1.55307,0.98178
PT,30.19130435,7.466666667,1.04,32.66666667,12.775,1406484.0,0.0,-0.1770476,0.68993783,272.55875,7.22448,102459.39,1.0000076,1146.973,165.6076607,0.712292118,37.65797101,-1.51409,1.20982
PT,27.26956522,3.733333333,0.96,40.6,17.61666667,1190071.5,0.0,0.10475856,0.76365995,272.66263,7.45938,102393.2,1.0000076,1147.8276,187.8110583,0.770811829,31.00289855,-1.17749,1.17769
PT,31.65217391,6.72,1.12,19.83333333,19.8625,888453.0,0.0,0.26215032,0.42483124,272.59464,7.51434,102352.914,0.9963758,1090.825,211.6774619,0.499203739,38.37217391,-1.79443,1.28703
PT,34.57391304,3.733333333,0.96,35.0,23.94583333,523231.5,0.0,0.36520442,-0.22695029,273.23248,7.655,102257.61,1.0000076,1033.2695,301.8582059,0.42997756,38.30724638,-1.63176,1.71822
PT,46.26086957,2.986666667,1.04,21.0,26.1625,349621.0,0.0,-0.16842853,-0.5047508,273.07895,7.58694,102263.64,1.0000076,980.33844,18.45315858,0.532110458,49.24753623,-1.92314,1.09425
PT,61.35652174,5.226666667,1.2,4.666666667,25.52083333,99206.0,0.0,-0.10809502,-0.833815,273.20193,7.36517,102325.44,0.95006293,529.2439,7.386576379,0.840792476,66.58318841,-2.72939,1.14326
PT,33.11304348,7.466666667,1.6,31.73333333,14.35,1006060.0,0.0,2.898087,-2.8780167,274.60828,6.29543,102771.4,0.9996109,628.67163,314.8009144,4.084346751,40.57971014,-1.61198,0.05934
PT,32.62608696,6.72,1.52,33.6,16.625,1285277.0,0.0,3.091454,-3.150935,274.73126,7.10082,102754.27,1.0000076,727.99896,315.54593,4.414235971,39.34608696,-1.4841,-0.07149
PT,33.6,5.226666667,1.36,29.86666667,18.31666667,1248074.0,0.0,3.197881,-3.6445312,274.21945,7.38085,102698.57,0.9999924,967.6712,318.7347817,4.848613261,38.82666667,-1.49225,-0.31069
PT,30.19130435,3.733333333,1.36,28.93333333,20.06666667,1175271.0,0.0,3.0195036,-4.2162437,273.3677,7.39657,102647.25,1.0000076,1251.8296,324.3912899,5.185953425,33.92463768,-1.33443,-0.58037
PT,30.67826087,3.733333333,1.36,29.4,23.21666667,1123667.0,0.0,2.4675083,-4.5599546,272.44263,7.23953,102613.27,0.828688,1259.822,331.581044,5.184764524,34.4115942,-1.35719,-0.55021
PT,29.2173913,2.986666667,1.28,33.6,27.00833333,874452.5,0.0,1.3271676,-4.2015967,273.20728,7.655,102584.15,0.5683287,1227.6011,342.4701216,4.406221586,32.20405797,-1.25624,-0.15999
PT,33.11304348,2.986666667,1.2,31.73333333,30.04166667,601236.0,0.0,0.78566515,-4.111763,272.49457,7.216,102610.53,0.4324877,1195.4303,349.1824628,4.186151538,36.09971014,-1.45319,0.01432
PT,35.06086957,2.24,1.12,28.93333333,30.975,207212.5,0.0,0.27039465,-3.3730776,272.27762,6.37264,102703.78,0.4077824,1043.6747,355.4168222,3.383898013,37.30086957,-1.63322,0.36341
PT,24.83478261,3.733333333,0.8,31.26666667,20.825,480429.0,0.0,-2.1920366,-1.9752871,273.52124,6.3301,102891.65,1.0000076,679.34064,47.97736679,2.950725942,28.56811594,-1.03079,-0.35226
