sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
DSL,19.96521739,1.493333333,0.88,48.06666667,30.45,533232.0,0.0,0.29100546,-0.312878,273.5472,7.72567,102289.61,1.0000076,1000.84735,317.0743351,0.42729009,21.45855072,-0.84184,1.72031
DSL,20.93913043,1.493333333,0.88,45.73333333,35.7,341220.5,0.0,0.17820802,-0.64731276,273.29742,7.708,102309.68,0.9908366,891.2154,344.607538,0.671395493,22.43246377,-0.91838,1.67525
DSL,22.4,1.493333333,0.88,42.0,39.725,116007.0,0.0,0.5941719,-1.0447285,273.56708,7.46722,102377.445,0.95743334,289.11926,330.3716681,1.201872658,23.89333333,-1.01041,1.3549
DSL,27.26956522,6.72,1.68,35.46666667,10.20833333,864452.0,0.0,2.5836785,-2.5303998,275.2041,6.10177,102859.445,0.9999924,609.2687,314.4031116,3.616395683,33.98956522,-1.39793,0.22051
DSL,22.88695652,3.733333333,1.28,40.13333333,14.99166667,1276877.0,0.0,2.8523686,-2.7671893,275.35767,6.90914,102845.26,1.0000076,701.6089,314.131597,3.974083951,26.62028986,-1.04848,-0.09855
DSL,25.80869565,5.226666667,1.28,35.0,19.13333333,1184070.0,0.0,3.046485,-3.3525722,274.8069,7.08383,102786.61,0.9999924,841.9036,317.7385515,4.5299902,31.03536232,-1.24238,-0.30666
DSL,26.7826087,5.226666667,1.2,32.66666667,22.98333333,1264876.0,0.0,2.7841654,-3.8422625,274.03534,7.20553,102724.195,0.95702136,996.57465,324.0723071,4.7449508,32.00927536,-1.3014,-0.39428
DSL,28.73043478,5.226666667,1.12,30.33333333,26.54166667,1277276.5,0.0,2.313864,-3.9809186,272.917,7.21795,102686.305,0.80877423,1057.3473,329.8331878,4.604528153,33.95710145,-1.4063,-0.27478
DSL,27.75652174,3.733333333,1.12,31.73333333,29.75,1035662.0,0.0,1.507044,-3.5053868,273.57855,7.5804,102660.2,0.45263037,1106.659,336.7360519,3.815615053,31.48985507,-1.32184,0.11376
DSL,25.32173913,2.24,0.96,37.8,33.075,708442.5,0.0,1.0573533,-3.3569663,272.5534,7.23364,102677.54,0.29644835,1092.3833,342.516987,3.519548088,27.56173913,-1.13168,0.23082
DSL,27.75652174,1.493333333,1.04,33.6,34.59166667,248015.0,0.0,0.6462611,-2.3917437,272.48618,6.3962,102770.72,0.27856407,767.1568,344.879478,2.477517172,29.24985507,-1.32801,0.76743
DSL,37.00869565,11.94666667,0.64,11.2,17.26666667,359222.0,0.0,-1.7400975,-1.6218115,273.21494,4.87502,102957.625,1.0000076,424.0857,47.0150736,2.378699613,48.95536232,-2.20177,0.23461
